,Unnamed: 0,loc,title,author,is_foreign
1822,1822,53448_61745,日本的童話の提唱,小川未明,False
1823,1823,43367_26101,彼の長所十八,芥川龍之介,False
1826,1826,56633_55005,新書太閤記,吉川英治,False
1827,1827,4803_14204,風立ちぬ,堀辰雄,False
1830,1830,4061_6486,小町の芍薬,岡本かの子,False
1831,1831,47898_50026,伊勢物語など,堀辰雄,False
1836,1836,52966_46835,海のかなた,小川未明,False
1842,1842,981_15032,半七捕物帳,岡本綺堂,False
1847,1847,161_15133,酒虫,芥川龍之介,False
1848,1848,43144_31425,呉清源,坂口安吾,False
1851,1851,55857_62092,錢形平次捕物控,野村胡堂,False
1856,1856,988_15024,半七捕物帳,岡本綺堂,False
1859,1859,54678_59541,錢形平次捕物控,野村胡堂,False
1860,1860,2105_15949,難船小僧,夢野久作,False
1861,1861,53457_52757,おけらになった話,小川未明,False
1862,1862,13216_14467,たなばたと盆祭りと,折口信夫,False
1865,1865,51426_40033,手紙,坂本龍馬,False
1866,1866,47196_35957,日本文学の発生,折口信夫,False
1870,1870,42674_25748,花子の陳述,豊島与志雄,False
1874,1874,51551_60148,金色のボタン,小川未明,False
1877,1877,46933_33271,豆腐買い,岡本かの子,False
1879,1879,45201_22667,特攻隊に捧ぐ,坂口安吾,False
1882,1882,52924_52756,お母さまは太陽,小川未明,False
1883,1883,42390_32963,恩人,豊島与志雄,False
1885,1885,2301_13524,白椿,夢野久作,False
1886,1886,42912_25522,母の上京,坂口安吾,False
1887,1887,1186_20037,旅僧,泉鏡花,False
1889,1889,45878_32930,文学と国民生活,坂口安吾,False
1896,1896,1174_20553,眉かくしの霊,泉鏡花,False
1902,1902,48406_35158,処方秘箋,泉鏡花,False
1903,1903,47926_50725,花を持てる女,堀辰雄,False
1906,1906,1298_11892,中国怪奇小説集,岡本綺堂,False
1907,1907,54742_61254,錢形平次捕物控,野村胡堂,False
1911,1911,56397_58080,銭形平次捕物控,野村胡堂,False
1914,1914,45485_24687,くろん坊,岡本綺堂,False
1915,1915,54648_57931,錢形平次捕物控,野村胡堂,False
1917,1917,55071_54772,窯を築いて知り得たこと,北大路魯山人,False
1918,1918,54681_58927,錢形平次捕物控,野村胡堂,False
1919,1919,45106_41641,井戸,新美南吉,False
1929,1929,52147_41453,続　手紙,坂本龍馬,False
1930,1930,51754_63528,ある少年の正月の日記,小川未明,False
1934,1934,45496_23366,魚妖,岡本綺堂,False
1935,1935,56052_53029,夕顔の門,吉川英治,False
1938,1938,3349_36910,時限爆弾奇譚,海野十三,False
1942,1942,42392_32971,球突場の一隅,豊島与志雄,False
1943,1943,42495_21126,舞台のイメージ,豊島与志雄,False
1949,1949,45857_32927,死と鼻唄,坂口安吾,False
1953,1953,4275_6755,梅花に対する感情,芥川龍之介,False
1954,1954,52785_44596,読書と生活,牧野信一,False
1955,1955,47688_42280,春日若宮御祭の研究,折口信夫,False
1958,1958,24409_15377,追憶の医師達,寺田寅彦,False
1964,1964,2113_21852,衝突心理,夢野久作,False
1966,1966,33218_11890,中国怪奇小説集,岡本綺堂,False
1967,1967,49560_33610,叔父と甥と,岡本綺堂,False
1968,1968,24421_15367,高知がえり,寺田寅彦,False
1970,1970,3677_11951,鍛冶の母,田中貢太郎,False
1971,1971,46931_33270,茶屋知らず物語,岡本かの子,False
1972,1972,55506_53574,錢形平次捕物控,野村胡堂,False
1973,1973,51507_59482,海が呼んだ話,小川未明,False
1977,1977,42267_18786,ピタゴラスと豆,寺田寅彦,False
1978,1978,51081_51916,千代紙の春,小川未明,False
1979,1979,51_15242,文放古,芥川龍之介,False
1984,1984,3528_18068,不思議なる空間断層,海野十三,False
1986,1986,56511_52779,餅を買う女,岡本綺堂,False
1987,1987,2343_13806,相対性原理側面観,寺田寅彦,False
1988,1988,50988_46401,つばめの話,小川未明,False
1990,1990,53418_43275,〔こはドロミット洞窟の〕,宮沢賢治,False
1991,1991,45331_41330,幽霊の出る宮殿,牧野信一,False
1993,1993,43173_21385,安吾巷談,坂口安吾,False
1995,1995,52831_44710,最近注目した長篇・短篇小説に就て,牧野信一,False
1998,1998,4749_6700,小さな村,原民喜,False
2000,2000,4482_11832,山の怪,田中貢太郎,False
2001,2001,1770_58420,ウォーソン夫人の黒猫,萩原朔太郎,False
2002,2002,46316_25542,盆踊りの話,折口信夫,False
2007,2007,248_20043,千代女,太宰治,False
2009,2009,42219_16450,雑記（２［＃「２」はローマ数字、1-13-22］）,寺田寅彦,False
2010,2010,54566_56096,錢形平次捕物控,野村胡堂,False
2017,2017,24427_15755,海水浴,寺田寅彦,False
2020,2020,46941_33264,ガルスワーシーの家,岡本かの子,False
2023,2023,57864_60194,温泉１,中谷宇吉郎,False
2026,2026,55593_56099,闘士の恋の歌,今野大力,False
2030,2030,302_20159,庭,太宰治,False
2031,2031,295_20170,メリイクリスマス,太宰治,False
2032,2032,2129_21938,涙香・ポー・それから,夢野久作,False
2033,2033,50004_37784,鮪を食う話,北大路魯山人,False
2040,2040,52076_48203,小さな弟、良ちゃん,小川未明,False
2041,2041,52821_44713,水車小屋の日誌,牧野信一,False
2045,2045,2716_6484,ふしぎ国探検,海野十三,False
2046,2046,636_21636,正坊とクロ,新美南吉,False
2055,2055,42573_22881,怪異に嫌わる,豊島与志雄,False
2062,2062,1250_18625,疑問の金塊,海野十三,False
2063,2063,52906_43452,砂浜,牧野信一,False
2064,2064,52847_45465,湖の夢,牧野信一,False
2067,2067,42543_22799,形態について,豊島与志雄,False
2068,2068,52736_43594,私の本年の希望と計画,牧野信一,False
2070,2070,45886_33226,鉄砲,坂口安吾,False
2071,2071,42575_22902,或る日の対話,豊島与志雄,False
2073,2073,4756_6708,火の子供,原民喜,False
2074,2074,56213_62096,銭形平次捕物控,野村胡堂,False
2076,2076,45592_41073,炭取り,田中貢太郎,False
2077,2077,2134_21900,スランプ,夢野久作,False
2078,2078,52063_56921,子供の床屋,小川未明,False
2080,2080,46385_26543,役者の一生,折口信夫,False
2081,2081,132_15264,路上,芥川龍之介,False
2084,2084,4477_11829,放生津物語,田中貢太郎,False
2086,2086,2489_10343,さるかに合戦と桃太郎,寺田寅彦,False
2092,2092,45534_41078,天井裏の妖婆,田中貢太郎,False
2096,2096,2686_23968,骸骨館,海野十三,False
2099,2099,42726_29451,崖下の池,豊島与志雄,False
2100,2100,57459_63338,スポーツの科学,中谷宇吉郎,False
2104,2104,52877_42881,駒鳥の胸,牧野信一,False
2105,2105,2296_23810,春昼,泉鏡花,False
2107,2107,2285_15077,トカトントン,太宰治,False
2109,2109,51865_40605,軍艦金剛航海記,芥川龍之介,False
2114,2114,45375_37931,ゾイラス,牧野信一,False
2115,2115,52908_42665,池のまはり,牧野信一,False
2116,2116,45845_33224,長篇小説時評,坂口安吾,False
